5,46,11500
4,23,5750
0,3,750
2,10,2500
1,13,3250
2,6,1500
2,5,1250
2,14,3500
2,15,3750
2,6,1500
2,3,750
2,3,-999
4,11,2750
2,6,1500
2,6,1500
9,9,2250
4,14,3500
4,6,1500
4,12,3000
4,5,1250
4,8,2000
1,14,3500
4,10,-999
4,10,2500
4,9,2250
2,16,4000
2,8,2000
2,12,3000
4,6,1500
2,14,3500
4,7,1750
2,13,3250
2,5,1250
2,5,-999
2,5,1250
4,20,5000
4,9,2250
2,9,2250
2,2,500
2,2,-999
2,2,500
2,11,2750
2,11,2750
2,6,1500
2,12,3000
4,5,1250
4,19,4750
4,8,2000
2,7,1750
2,16,4000
3,6,1500
2,7,1750
2,8,2000
2,10,2500
4,5,1250
2,3,750
3,16,4000
2,4,1000
0,2,500
4,7,1750
1,9,2250
2,4,1000
2,4,-999
4,17,4250
2,2,500
2,2,500
2,2,500
2,4,1000
2,2,500
2,2,500
2,2,-999
4,6,1500
2,4,1000
2,4,-999
2,4,1000
2,6,1500
2,6,1500
4,2,500
4,2,500
4,2,500
2,7,1750
4,2,500
4,2,-999
4,2,500
4,2,500
12,11,2750
4,7,1750
3,17,4250
4,9,2250
4,4,1000
5,7,1750
4,8,2000
2,13,3250
4,9,2250
2,5,-999
2,5,1250
6,17,4250
0,8,2000
3,5,1250
2,3,750
2,10,2500
4,5,1250
4,9,2250
4,5,1250
4,8,2000
2,12,3000
11,24,6000
2,7,1750
4,11,2750
1,7,1750
2,11,2750
2,3,750
4,5,1250
2,6,1500
2,5,1250
2,4,1000
2,5,-999
4,8,2000
2,4,1000
4,8,2000
2,2,500
4,5,1250
2,12,3000
2,2,500
4,6,1500
2,11,2750
2,3,750
2,5,1250
2,12,3000
9,5,1250
2,2,500
2,9,2250
5,14,3500
4,3,750
4,3,-999
4,2,500
4,3,750
6,3,750
2,2,500
2,2,500
2,2,500
2,7,1750
4,6,1500
4,11,2750
2,1,250
2,1,250
2,1,-999
2,1,250
2,1,250
2,1,250
2,1,250
2,1,250
2,1,250
2,1,250
2,1,250
2,1,-999
2,1,250
2,1,250
2,1,-999
2,1,250
2,1,250
2,1,250
2,1,250
2,1,250
2,1,250
2,1,250
11,10,2500
11,4,1000
4,5,1250
4,6,1500
2,3,750
4,4,1000
10,4,1000
2,4,1000
4,12,3000
13,8,2000
11,9,2250
4,5,1250
4,4,1000
8,15,3750
4,5,1250
4,7,1750
4,7,1750
2,4,1000
11,11,2750
2,2,500
2,5,1250
9,8,2000
4,6,1500
11,7,1750
9,9,2250
4,6,1500
4,7,-999
6,2,500
4,7,1750
11,9,2250
11,6,1500
2,2,500
2,7,1750
11,6,1500
11,3,750
4,1,250
4,1,250
4,1,-999
4,1,250
4,1,250
4,1,250
4,1,250
4,1,250
4,1,250
4,1,250
4,1,250
4,1,250
4,1,250
4,1,250
4,1,-999
4,1,250
4,1,250
4,3,750
4,1,250
4,1,250
4,1,250
4,1,250
4,1,250
10,8,2000
14,7,1750
8,10,2500
11,3,750
4,2,500
2,4,1000
8,9,2250
8,8,2000
11,22,5500
4,3,750
11,17,4250
9,2,500
4,5,1250
11,12,3000
7,12,3000
11,2,500
11,2,-999
11,2,500
2,6,1500
11,8,2000
11,3,750
12,13,3250
2,3,750
16,8,2000
11,7,1750
4,3,750
12,12,3000
4,4,1000
11,14,3500
2,2,500
2,3,750
4,5,1250
4,4,1000
3,2,500
11,8,2000
4,7,1750
13,4,1000
16,11,2750
16,7,1750
7,2,500
4,5,1250
4,5,-999
4,4,1000
14,13,3250
4,3,750
14,18,4500
11,8,2000
14,16,4000
14,4,1000
14,5,1250
8,2,500
11,5,1250
11,2,500
4,2,500
9,2,500
14,5,1250
14,3,750
14,4,1000
16,12,3000
11,4,1000
11,5,1250
11,5,-999
2,4,1000
14,5,1250
14,2,500
14,2,500
14,2,500
14,2,500
14,2,500
14,2,-999
2,3,750
14,6,1500
11,5,1250
4,5,1250
11,3,750
16,4,1000
16,3,750
11,5,1250
11,2,500
12,9,2250
9,1,250
9,1,250
4,2,500
11,2,500
14,4,1000
11,9,2250
11,5,1250
15,16,4000
9,5,1250
11,4,1000
14,8,2000
16,7,1750
14,2,500
2,2,500
14,16,4000
14,4,1000
16,7,1750
14,7,1750
16,6,1500
16,6,1500
11,7,1750
16,2,500
16,3,750
11,3,750
11,7,1750
